True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,1000.0,1006.6512,678.7096
1000.0,1000.0,1023.7668,689.554
1000.0,1000.0,1010.06415,436.64224
1000.0,1000.0,1011.129,739.9329
1000.0,1000.0,991.26434,711.4957
1000.0,1000.0,979.40076,1157.3099
1000.0,1000.0,983.4673,641.77295
1000.0,1000.0,997.71826,883.5526
1000.0,1000.0,1001.29596,753.4166
1000.0,1000.0,996.6061,784.719
1000.0,1000.0,995.2226,812.09875
1000.0,1000.0,998.91504,540.87787
1000.0,1000.0,992.09064,622.2178
1000.0,1000.0,999.24005,699.6265
1000.0,1000.0,995.661,1509.5134
1000.0,100.0,1012.5453,518.47534
1000.0,100.0,969.305,489.04218
1000.0,100.0,993.1869,337.01315
1000.0,100.0,997.81433,311.69125
1000.0,100.0,983.90265,430.11975
1000.0,100.0,995.2311,265.69232
1000.0,100.0,985.9821,-71.73465
1000.0,100.0,1012.10394,246.49013
1000.0,100.0,1016.8169,-190.51672
1000.0,100.0,1007.35614,108.43368
1000.0,100.0,1013.45905,133.08496
1000.0,100.0,1007.7577,192.72069
1000.0,16000.0,991.2229,15992.85
1000.0,16000.0,1007.8108,16173.254
1000.0,16000.0,1013.9276,16258.48
1000.0,16000.0,1002.20764,16144.825
1000.0,16000.0,983.92883,16045.221
1000.0,16000.0,974.7606,15979.274
1000.0,16000.0,977.2869,15731.364
1000.0,16000.0,975.4535,15683.063
1000.0,16000.0,993.89343,15946.64
1000.0,16000.0,986.13477,15858.062
1000.0,16000.0,974.4919,15990.778
1000.0,16000.0,961.66974,15933.343
1000.0,16000.0,944.6665,15575.015
1000.0,16000.0,1000.85297,15862.837
1000.0,16000.0,1000.027,15834.923
1000.0,16000.0,996.97485,15801.13
1000.0,16000.0,1001.0486,15899.791
1000.0,16000.0,1000.97186,15825.824
1000.0,16000.0,1001.30286,15865.179
1000.0,16000.0,1001.05554,15838.958
1000.0,16000.0,1002.68164,15932.354
1000.0,16000.0,1002.60895,15910.012
1000.0,16000.0,1002.01245,15855.89
1000.0,16000.0,1000.4472,15889.999
1000.0,16000.0,999.0635,15853.76
1000.0,16000.0,999.7621,15868.47
1000.0,16000.0,1000.1195,15865.051
1000.0,16000.0,998.627,15853.606
1000.0,16000.0,997.31903,15825.675
1000.0,16000.0,1000.7277,15906.259
1000.0,16000.0,1004.2443,16011.664
1000.0,16000.0,1003.5624,16090.361
1000.0,16000.0,993.3605,15911.954
1000.0,16000.0,997.4594,15905.125
1000.0,16000.0,1006.55634,16033.566
1000.0,16000.0,1004.91144,15793.979
1000.0,16000.0,1015.0435,16040.3545
1000.0,16000.0,1003.16595,15873.441
1000.0,16000.0,1005.808,15924.563
1000.0,16000.0,1011.78925,15842.615
1000.0,16000.0,1007.05194,15969.228
1000.0,16000.0,1008.90656,16162.896
1000.0,16000.0,1000.79065,15964.909
1000.0,16000.0,1002.0742,15919.21
1000.0,16000.0,999.6575,15866.525
1000.0,16000.0,995.8389,15788.215
1000.0,16000.0,999.11615,15922.142
1000.0,16000.0,997.6693,15933.968
1000.0,16000.0,1000.79626,15837.205
1000.0,16000.0,1001.09973,15864.557
1000.0,16000.0,998.58856,15931.8
1000.0,16000.0,994.08435,15964.077
1000.0,16000.0,995.44324,15704.858
1000.0,16000.0,1008.2603,15870.104
1000.0,16000.0,1001.23285,15864.215
1000.0,16000.0,1002.4308,15982.027
1000.0,16000.0,1002.5542,16198.967
1000.0,16000.0,1000.10034,15910.222
1000.0,16000.0,995.41644,15935.31
1000.0,16000.0,994.0207,15861.242
1000.0,24000.0,1006.6501,24217.85
1000.0,24000.0,1006.676,24216.85
1000.0,24000.0,1010.06,24307.02
1000.0,24000.0,1004.1773,24169.998
1000.0,24000.0,1007.6513,24257.06
1000.0,24000.0,1009.1052,24313.592
1000.0,24000.0,997.8877,24062.865
1000.0,24000.0,1003.94965,24104.775
1000.0,24000.0,1001.9877,24134.738
1000.0,24000.0,998.884,24067.398
1000.0,24000.0,999.3533,23974.627
1000.0,24000.0,999.1245,23920.785
1000.0,24000.0,1002.9977,24091.494
1000.0,24000.0,996.82434,23928.773
1000.0,24000.0,993.8099,23723.041
1000.0,24000.0,918.4009,23457.01
1000.0,24000.0,1012.90985,24405.54
1000.0,24000.0,997.7729,24232.062
1000.0,24000.0,999.1981,24048.938
1000.0,24000.0,984.0794,23867.822
