True Temperature,True Time,Predicted Temperature,Predicted Time
1000.0,1000.0,966.5297,3377.9592
1000.0,1000.0,990.0163,4814.572
1000.0,1000.0,998.8429,706.0825
1000.0,1000.0,1005.729,492.72522
1000.0,1000.0,994.165,949.8408
1000.0,1000.0,987.75934,1740.2855
1000.0,1000.0,988.74835,1621.4712
1000.0,1000.0,982.65485,1015.73956
1000.0,1000.0,1015.1157,846.83997
1000.0,1000.0,997.07294,976.3307
1000.0,1000.0,999.09076,841.6835
1000.0,1000.0,1016.4189,513.3326
1000.0,1000.0,1008.7549,451.42975
1000.0,1000.0,1023.7668,689.554
1000.0,1000.0,994.71155,1144.8456
1000.0,1000.0,1011.129,739.9329
1000.0,1000.0,1016.5385,802.1342
1000.0,1000.0,991.26434,711.4957
1000.0,1000.0,979.40076,1157.3099
1000.0,1000.0,987.4633,999.1716
1000.0,1000.0,1007.6115,848.9862
1000.0,1000.0,1005.57697,560.33014
1000.0,1000.0,1001.43066,978.14716
1000.0,1000.0,978.4488,1073.831
1000.0,100.0,937.3251,2249.1484
1000.0,100.0,968.7247,834.39996
1000.0,100.0,1007.4232,334.24875
1000.0,100.0,1019.7137,52.049778
1000.0,100.0,904.75305,7926.173
1000.0,100.0,1004.3698,347.95407
1000.0,100.0,1002.63763,444.70984
1000.0,100.0,1001.51544,299.57547
1000.0,100.0,963.9936,465.95898
1000.0,100.0,969.5937,360.32928
1000.0,100.0,979.89795,266.08127
1000.0,100.0,993.1869,337.01315
1000.0,100.0,983.90265,430.11975
1000.0,100.0,1011.04755,15.066721
1000.0,100.0,1012.10394,246.49013
1000.0,100.0,1016.3391,310.64532
1000.0,100.0,1013.7429,314.34964
1000.0,100.0,968.02026,27.027435
1000.0,16000.0,971.50055,16057.72
1000.0,16000.0,1000.4034,16069.309
1000.0,16000.0,953.4013,16017.595
1000.0,16000.0,1007.8108,16173.254
1000.0,16000.0,955.6528,16166.532
1000.0,16000.0,1009.9159,16154.187
1000.0,16000.0,997.4655,16141.411
1000.0,16000.0,973.0747,15822.541
1000.0,16000.0,987.0135,15912.019
1000.0,16000.0,986.13477,15858.062
1000.0,16000.0,977.30695,15935.86
1000.0,16000.0,972.6533,15933.034
1000.0,16000.0,953.26917,15809.459
1000.0,16000.0,991.15405,15857.304
1000.0,16000.0,989.74567,15900.314
1000.0,16000.0,994.8178,16037.442
1000.0,16000.0,1000.027,15834.923
1000.0,16000.0,1001.6304,15929.649
1000.0,16000.0,999.1851,15838.733
1000.0,16000.0,996.97485,15801.13
1000.0,16000.0,999.5054,15824.8125
1000.0,16000.0,1001.05554,15838.958
1000.0,16000.0,1002.4132,15922.904
1000.0,16000.0,1001.0122,15872.4
1000.0,16000.0,997.5191,15828.016
1000.0,16000.0,998.5214,15887.596
1000.0,16000.0,1001.1242,15902.626
1000.0,16000.0,996.5821,15999.102
1000.0,16000.0,959.9501,15592.601
1000.0,16000.0,987.63226,15776.333
1000.0,16000.0,936.9785,15903.807
1000.0,16000.0,973.9642,15666.039
1000.0,16000.0,992.62836,15959.804
1000.0,16000.0,999.7599,15871.78
1000.0,16000.0,999.2273,15855.878
